Site ,Region,Plot#,Lichen,Moss,Road/Trail,Rock,Mineral_Soil,Wood,Litter/Duff,LitterDepth_NWcorner(cm),LitterDepth_SEcorner(cm)
CE_SWB_E1,MA,600,0,0,0,0,0,1,8,9.0,4.5
CE_SWB_E1,MA,598,0,0,0,0,0,2,8,7.0,5.5
CE_SWB_E1,MA,596,0,0,0,0,0,4,8,12.0,9.0
CE_SWB_E1,MA,594,0,0,0,0,0,0,8,8.0,7.5
CE_SWB_E1,MA,592,0,0,0,0,0,0,8,3.5,2.5
Mashpee_C,MA,351,0,0,0,0,0,0,8,2.0,0.5
Mashpee_C,MA,353,0,0,0,0,0,2,8,4.0,6.5
Mashpee_C,MA,355,0,0,0,0,0,0,8,4.0,5.0
Mashpee_C,MA,357,0,0,0,0,0,1,8,7.0,5.0
Mashpee_C,MA,359,0,0,0,0,0,1,8,4.0,3.0
Mashpee_C,MA,361,0,0,0,0,0,3,8,4.5,4.5
Mashpee_C,MA,363,0,0,0,0,0,0,8,3.5,5.0
Mashpee_C,MA,365,0,0,0,0,0,3,8,7.0,8.5
Mashpee_C,MA,367,0,0,0,0,0,1,8,7.0,9.0
