Site ,Region,Plot_No,Lichen,Moss,Road_Trail,Rock,Mineral_Soil,Wood,Litter_Duff,LitterDepth1_cm,LitterDepth2_cm
RPD2_B8,LI,142,0,0,0,0,0,1,8,6,6.5
RPD2_B8,LI,144,0,0,0,0,0,1,8,6.5,9.5
RPD2_B8,LI,146,0,0,0,0,0,2,8,10.5,14.5
RPD2_B8,LI,148,0,0,0,0,0,1,8,5.5,8.5
RPD2_B8,LI,150,0,0,0,0,0,2,8,7.5,6.5
RPD2_B8,LI,152,0,0,0,0,0,2,8,13.5,9.5
RPD2_B8,LI,154,0,0,0,0,0,1,8,7,7.5
RPD2_B8,LI,156,0,0,0,0,0,1,8,7,6
RPD2_B8,LI,158,0,0,0,0,0,2,8,4.5,2.5
RPD2_B7,LI,124,0,0,0,0,0,1,8,4.5,9
RPD2_B7,LI,126,0,0,0,0,0,2,8,9.5,11
RPD2_B7,LI,128,0,2,0,0,0,2,8,6,11.5
RPD2_B7,LI,130,0,0,0,0,0,4,8,9,8
RPD2_B7,LI,132,0,0,0,0,0,1,8,6.5,9.5
RPD2_B7,LI,134,0,0,0,0,0,1,8,6.5,6.5
RPD2_B7,LI,136,0,0,0,0,0,1,8,5,6
RPD2_B7,LI,138,0,0,0,0,0,1,8,5.5,4.5
RPD2_B7,LI,140,0,0,0,0,0,1,8,13.5,10
RPD2_B3,LI,88,0,0,0,0,0,1,8,4,4
RPD2_B3,LI,90,0,2,0,0,0,0,8,4,6.5
RPD2_B3,LI,92,0,0,0,0,0,0,8,7.5,6
RPD2_B3,LI,94,0,0,0,0,0,0,8,1.5,3
RPD2_B3,LI,96,0,0,0,0,0,1,8,4,5.5
RPD2_B3,LI,98,0,0,0,0,0,5,7,5,5
RPD2_B3,LI,100,0,0,0,0,0,1,8,6.5,8.5
RPD2_B3,LI,102,0,0,0,0,0,2,8,7,6.5
RPD2_B3,LI,104,0,0,0,0,0,1,8,5.5,8
APB_Hippo,ALB,661,0,0,0,0,0,0,8,2,4.5
APB_Hippo,ALB,659,0,0,0,0,0,2,8,0.5,5.5
APB_Hippo,ALB,657,0,0,0,0,0,0,8,7.5,7
APB_Hippo,ALB,655,0,0,0,0,0,1,8,1,1
APB_Hippo,ALB,653,0,0,0,0,0,0,8,2,0.5
APB_Hippo,ALB,651,0,0,0,0,0,1,8,0.5,0.5
APB_Hippo,ALB,649,0,0,0,0,0,1,8,3,4.5
APB_Hippo,ALB,647,0,0,0,0,1,0,8,2,2.5
APB_Hippo,ALB,645,0,0,0,0,0,1,8,0.5,1
APB_Hippo,ALB,643,0,0,0,0,0,0,8,1,1
APB_Hydro,ALB,681,0,0,0,0,1,3,8,2,2
APB_Hydro,ALB,679,0,0,0,0,0,2,8,0.5,1.5
APB_Hydro,ALB,677,0,0,0,0,0,2,8,1,0.5
APB_Hydro,ALB,675,0,0,0,0,0,3,8,3.5,2
APB_Hydro,ALB,673,0,0,0,0,0,3,8,5,4.5
APB_Hydro,ALB,671,0,0,0,0,0,2,8,1,5.5
APB_Hydro,ALB,669,0,2,0,0,0,4,8,3.5,3.5
APB_Hydro,ALB,667,0,0,0,0,0,4,8,4,5
APB_Hydro,ALB,665,0,0,0,0,0,2,8,3,4.5
APB_Hydro,ALB,663,0,5,0,0,0,3,6,0,1
MS_09d,MA,641,1,0,4,0,0,2,7,5,5
MS_09d,MA,639,2,0,0,0,0,0,8,5,4.5
MS_09d,MA,637,2,0,0,0,0,0,8,3.5,5
MS_09d,MA,407,4,0,0,0,0,2,8,2.5,4
MS_09d,MA,405,7,2,0,0,0,0,5,5.5,3.5
MS_09d,MA,403,0,0,0,0,0,2,8,10,8.5
MS_09d,MA,401,0,0,0,0,0,0,8,5.5,6.5
MS_09d,MA,399,0,0,0,0,0,0,8,5,1.5
MS_09d,MA,397,0,0,0,0,0,0,8,11,7.5
MS_09d,MA,395,0,0,0,0,0,2,8,5.5,10.5
MS_09d,MA,393,2,0,0,0,0,0,8,7.5,4
MS_09d,MA,391,0,0,0,0,0,0,8,12.5,9.5
MS_07a,MA,635,0,0,0,0,0,1,8,3.5,8.5
MS_07a,MA,633,0,0,0,0,0,0,8,6.5,10
MS_07a,MA,631,0,0,0,0,0,0,8,1.5,3.5
