Site ,Region,Plot_No,Lichen,Moss,Road_Trail,Rock,Mineral_Soil,Wood,Litter_Duff,LitterDepth1_cm,LitterDepth2_cm
APB_Bivy,ALB,732,0,0,0,0,0,0,8,0.5,1.5
APB_Bivy,ALB,730,0,0,0,0,3,0,8,0.5,0
APB_Alleycat,ALB,866,0,0,0,0,2,0,8,1.5,2
APB_Alleycat,ALB,864,0,0,0,0,0,0,8,1.5,2
APB_Alleycat,ALB,862,0,0,0,0,0,0,8,2,2
APB_Alleycat,ALB,860,0,0,0,0,1,0,8,3.5,0.5
APB_Alleycat,ALB,858,0,0,0,0,2,0,8,2.5,1.5
APB_Alleycat,ALB,856,0,0,0,0,2,0,8,0.5,0.5
APB_Alleycat,ALB,854,0,0,0,0,0,0,8,1.5,2.5
APB_Alleycat,ALB,852,0,0,0,0,2,0,8,0,0.5
APB_Alleycat,ALB,850,0,0,0,0,1,0,8,2.5,3
APB_Alleycat,ALB,848,0,0,0,0,0,0,8,2,1
APB_Alleycat,ALB,846,0,1,0,0,2,0,8,4.5,1
APB_Alleycat,ALB,844,0,2,0,0,4,0,8,0,0
CE_BA3,MA,589,0,0,0,0,0,3,8,0,2.5
CE_BA3,MA,587,1,0,0,0,2,0,8,0.5,0.5
CE_BA3,MA,585,0,0,0,0,0,2,8,0.5,0.5
CE_BA3,MA,583,0,0,0,0,0,1,8,3,2.5
CE_BA3,MA,581,0,0,0,0,0,2,8,4.5,4
CE_BA3,MA,579,1,0,0,0,2,1,8,0,4
CE_BA3,MA,577,0,0,0,0,0,1,8,6.5,6.5
CE_BA3,MA,575,0,0,0,0,0,4,8,6,6
CE_BA3,MA,573,0,0,0,0,0,0,8,4.5,3.5
CE_BA3,MA,571,0,0,0,0,0,0,8,6.5,4
CE_SWB_S,MA,429,0,0,0,0,0,0,8,2.5,2.5
CE_SWB_S,MA,427,0,0,0,0,0,0,8,4.5,5.5
CE_SWB_S,MA,425,0,0,0,0,0,2,8,1.5,2
CE_SWB_S,MA,423,0,1,0,0,0,0,8,4,3.5
CE_SWB_S,MA,421,0,0,0,0,0,0,8,3.5,1
CE_SWB_S,MA,419,0,0,0,0,0,2,8,5.5,6.5
CE_SWB_S,MA,417,0,0,0,0,0,0,8,4,1.5
CE_SWB_S,MA,415,0,0,0,0,0,0,8,4.5,3
CE_SWB_S,MA,413,0,0,0,0,0,0,8,10,10
CE_SWB_S,MA,411,0,0,0,0,0,0,8,11,15.5
CE_SWB_S,MA,409,0,2,0,0,0,4,8,3,5
CE_SWB_N,MA,431,0,0,0,0,0,0,8,1.5,2.5
CE_SWB_N,MA,433,0,0,0,0,0,0,8,4,4
CE_SWB_N,MA,435,0,1,0,0,0,0,8,3,3.5
CE_SWB_N,MA,437,0,1,0,0,0,0,8,5.5,6.5
CE_SWB_N,MA,439,0,0,0,0,0,0,8,3,1
CE_SWB_N,MA,441,0,0,0,0,0,0,8,3.5,3
CE_SWB_N,MA,443,0,0,0,0,0,0,8,2,2.5
CE_SWB_N,MA,445,0,0,0,0,1,2,8,4,5
CE_SWB_N,MA,447,0,0,0,0,0,0,8,4,4
CE_SWB_N,MA,449,0,1,3,0,1,3,7,3,3.5
CE_SWB_N,MA,451,0,0,0,0,1,2,8,1,1.5
CE_SWB_N,MA,453,1,1,0,0,1,0,8,3.5,3.5
