Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout,Germinate
APB_Hoffman,ALB,899,PRSE,Prunus serotina,1,0,0,0
APB_Hoffman,ALB,898,NA,No species found,0,0,0,0
APB_Hoffman,ALB,897,NA,No species found,0,0,0,0
APB_Hoffman,ALB,896,ACRU,Acer rubrum,1,0,0,0
APB_Hoffman,ALB,895,NA,No species found,0,0,0,0
APB_Hoffman,ALB,894,NA,No species found,0,0,0,0
APB_Hoffman,ALB,893,NA,No species found,0,0,0,0
APB_Hoffman,ALB,892,NA,No species found,0,0,0,0
APB_Hoffman,ALB,891,NA,No species found,0,0,0,0
APB_Hoffman,ALB,890,NA,No species found,0,0,0,0
APB_Hoffman,ALB,889,POTR,Populus tremuloides,2,0,0,0
APB_Hoffman,ALB,889,PIRI,Pinus rigida,6,5,0,0
APB_Hoffman,ALB,889,QUCO,Quercus coccinea,2,0,0,0
APB_HuckMound,ALB,795,QUPR,Quercus prinoides,2,0,0,0
APB_HuckMound,ALB,794,QUIL,Quercus ilicifolia,1,0,0,0
APB_HuckMound,ALB,793,SAAL,Sassafras albidum,2,0,0,0
APB_HuckMound,ALB,793,PRSE,Prunus serotina,1,0,0,0
APB_HuckMound,ALB,792,QUPR,Quercus prinoides,4,0,0,0
APB_HuckMound,ALB,791,QUIL,Quercus ilicifolia,1,0,0,0
APB_HuckMound,ALB,790,NA,No species found,0,0,0,0
APB_HuckMound,ALB,789,NA,No species found,0,0,0,0
APB_HuckMound,ALB,788,QUIL,Quercus ilicifolia,2,0,0,0
APB_HuckMound,ALB,787,QUPR,Quercus prinoides,15,0,0,0
APB_HuckMound,ALB,786,NA,No species found,0,0,0,0
APB_HuckMound,ALB,785,QUPR,Quercus prinoides,16,0,0,0
APB_HuckMound,ALB,784,PRVI,Prunus virginiana,2,2,0,0
APB_HuckMound,ALB,783,QUPR,Quercus prinoides,2,0,0,0
APB_HuckMound,ALB,782,SAAL,Sassafras albidum,1,0,0,0
APB_HuckMound,ALB,782,QUPR,Quercus prinoides,18,0,0,0
APB_HuckMound,ALB,781,QUPR,Quercus prinoides,8,0,0,0
APB_HuckMound,ALB,780,ACRU,Acer rubrum,1,0,0,1
APB_HuckMound,ALB,779,QUPR,Quercus prinoides,8,0,0,0
APB_HuckMound,ALB,778,NA,No species found,0,0,0,0
APB_HuckMound,ALB,777,QUIL,Quercus ilicifolia,2,0,0,0
APB_HuckMound,ALB,776,QUPR,Quercus prinoides,3,0,0,0
APB_HuckMound,ALB,775,QUPR,Quercus prinoides,1,0,0,0
APB_HuckMound,ALB,774,QUPR,Quercus prinoides,10,0,0,0
APB_HuckMound,ALB,773,NA,No species found,0,0,0,0
APB_Fowlers,ALB,818,PIST,Pinus strobus,1,0,0,0
APB_Fowlers,ALB,818,QUIL,Quercus ilicifolia,3,0,0,0
APB_Fowlers,ALB,817,NA,No species found,0,0,0,0
APB_Fowlers,ALB,816,PIST,Pinus strobus,1,0,0,0
APB_Fowlers,ALB,815,PRSE,Prunus serotina,1,0,0,0
APB_Fowlers,ALB,815,ROPS,Robinia pseudoacacia,2,0,0,0
APB_Fowlers,ALB,815,QUCO,Quercus coccinea,2,0,0,0
APB_Fowlers,ALB,814,NA,No species found,0,0,0,0
APB_Fowlers,ALB,813,ROPS,Robinia pseudoacacia,1,0,0,0
APB_Fowlers,ALB,812,NA,No species found,0,0,0,0
APB_Fowlers,ALB,811,PRSE,Prunus serotina,2,0,0,0
APB_Fowlers,ALB,810,ROPS,Robinia pseudoacacia,2,2,2,0
APB_Fowlers,ALB,809,NA,No species found,0,0,0,0
APB_Fowlers,ALB,808,QUIL,Quercus ilicifolia,2,0,0,0
APB_Fowlers,ALB,807,NA,No species found,0,0,0,0
APB_Fowlers,ALB,806,NA,No species found,0,0,0,0
APB_Fowlers,ALB,805,QUIL,Quercus ilicifolia,1,0,0,0
APB_Fowlers,ALB,805,QUPR,Quercus prinoides,1,0,0,0
APB_Fowlers,ALB,804,QUPR,Quercus prinoides,1,0,0,0
APB_Fowlers,ALB,803,NA,No species found,0,0,0,0
APB_Fowlers,ALB,802,NA,No species found,0,0,0,0
APB_Fowlers,ALB,801,NA,No species found,0,0,0,0
APB_Fowlers,ALB,800,QUPR,Quercus prinoides,25,0,0,0
APB_Fowlers,ALB,799,NA,No species found,0,0,0,0
APB_Fowlers,ALB,798,QUIL,Quercus ilicifolia,4,0,0,0
APB_Fowlers,ALB,797,NA,No species found,0,0,0,0
APB_Fowlers,ALB,796,QUCO,Quercus coccinea,2,0,0,0
APB_Fowlers,ALB,796,ROPS,Robinia pseudoacacia,1,0,0,0
APB_Fowlers,ALB,796,PRPE,Prunus pensylvanica,1,0,0,0
CE_B7_D,MA,523,QUIL,Quercus ilicifolia,6,0,0,0
CE_B7_D,MA,522,ACRU,Acer rubrum,2,0,0,0
CE_B7_D,MA,522,QUPR,Quercus prinoides,8,0,0,0
CE_B7_D,MA,522,QUCO,Quercus coccinea,1,0,0,0
CE_B7_D,MA,521,QUIL,Quercus ilicifolia,1,0,0,0
CE_B7_D,MA,520,QUIL,Quercus ilicifolia,4,0,0,0
CE_B7_D,MA,520,QUPR,Quercus prinoides,5,0,0,0
CE_B7_D,MA,519,QUIL,Quercus ilicifolia,4,0,0,0
CE_B7_D,MA,518,SAAL,Sassafras albidum,1,0,0,0
CE_B7_D,MA,517,SAAL,Sassafras albidum,1,0,0,0
CE_B7_D,MA,516,NA,No species found,0,0,0,0
CE_B7_D,MA,515,PIRI,Pinus rigida,1,0,0,0
CE_B7_D,MA,515,QUIL,Quercus ilicifolia,1,0,0,0
CE_B7_D,MA,514,QUPR,Quercus prinoides,2,0,0,0
CE_B7_D,MA,514,QUIL,Quercus ilicifolia,4,0,0,0
CE_B7_D,MA,513,QUIL,Quercus ilicifolia,4,0,0,0
CE_B7_D,MA,512,NA,No species found,0,0,0,0
CE_B7_D,MA,511,NA,No species found,0,0,0,0
CE_B7_D,MA,510,QUIL,Quercus ilicifolia,3,0,0,0
CE_B7_D,MA,509,QUPR,Quercus prinoides,3,0,0,0
CE_B7_D,MA,509,QUIL,Quercus ilicifolia,1,0,0,0
CE_B7_D,MA,508,PIRI,Pinus rigida,1,0,0,0
CE_B7_D,MA,508,SAAL,Sassafras albidum,1,0,0,0
CE_B7_D,MA,507,NA,No species found,0,0,0,0
CE_B7_D,MA,506,QUIL,Quercus ilicifolia,2,0,0,0
CE_B7_D,MA,505,SAAL,Sassafras albidum,1,0,0,0
CE_B7_D,MA,504,QUIL,Quercus ilicifolia,9,0,0,0
CE_B7_D,MA,503,QUIL,Quercus ilicifolia,6,0,0,0
CE_B7_D,MA,502,NA,No species found,0,0,0,0
CE_B7_D,MA,501,QUIL,Quercus ilicifolia,1,0,0,0
CE_B7_D,MA,500,PIRI,Pinus rigida,1,0,0,0
CE_SWB_E1,MA,611,PIRI,Pinus rigida,1,0,0,0
CE_SWB_E1,MA,611,QUIL,Quercus ilicifolia,2,0,0,0
CE_SWB_E1,MA,611,QUAL,Quercus alba,5,0,0,0
CE_SWB_E1,MA,610,QUCO,Quercus coccinea,1,0,0,0
CE_SWB_E1,MA,610,QUAL,Quercus alba,1,0,0,0
CE_SWB_E1,MA,610,QUIL,Quercus ilicifolia,1,0,0,0
CE_SWB_E1,MA,610,QUVE,Quercus velutina,1,0,0,0
CE_SWB_E1,MA,609,QUAL,Quercus alba,2,0,0,0
CE_SWB_E1,MA,608,QUCO,Quercus coccinea,1,0,0,0
CE_SWB_E1,MA,607,NA,No species found,0,0,0,0
CE_SWB_E1,MA,606,PRSE,Prunus serotina,2,0,0,0
CE_SWB_E1,MA,605,NA,No species found,0,0,0,0
CE_SWB_E1,MA,604,QUIL,Quercus ilicifolia,8,0,0,0
CE_SWB_E1,MA,603,QUIL,Quercus ilicifolia,8,0,0,0
CE_SWB_E1,MA,603,QUCO,Quercus coccinea,1,0,0,0
CE_SWB_E1,MA,602,QUIL,Quercus ilicifolia,7,0,0,0
CE_SWB_E1,MA,602,QUAL,Quercus alba,1,0,0,0
CE_SWB_E1,MA,601,QUAL,Quercus alba,14,0,0,0
CE_SWB_E1,MA,600,QUCO,Quercus coccinea,1,0,0,0
CE_SWB_E1,MA,600,QUIL,Quercus ilicifolia,1,0,0,0
CE_SWB_E1,MA,599,QUIL,Quercus ilicifolia,6,0,0,0
CE_SWB_E1,MA,599,PRSE,Prunus serotina,1,0,0,0
CE_SWB_E1,MA,598,QUIL,Quercus ilicifolia,3,0,0,0
CE_SWB_E1,MA,597,QUIL,Quercus ilicifolia,12,0,0,0
CE_SWB_E1,MA,597,QUAL,Quercus alba,1,0,0,0
CE_SWB_E1,MA,596,AMSP,Amelanchier spp.,1,0,0,0
CE_SWB_E1,MA,595,ACRU,Acer rubrum,2,0,0,0
CE_SWB_E1,MA,595,SAAL,Sassafras albidum,1,0,0,0
CE_SWB_E1,MA,594,QUCO,Quercus coccinea,2,0,0,0
CE_SWB_E1,MA,594,QUIL,Quercus ilicifolia,1,0,0,0
CE_SWB_E1,MA,593,QUIL,Quercus ilicifolia,2,0,0,0
CE_SWB_E1,MA,592,PIRI,Pinus rigida,1,0,0,0
CE_SWB_E1,MA,591,QUCO,Quercus coccinea,1,0,0,0
Mashpee_C,MA,351,PIRI,Pinus rigida,1,0,0,0
Mashpee_C,MA,352,NA,No species found,0,0,0,0
Mashpee_C,MA,353,QUIL,Quercus ilicifolia,1,0,0,0
Mashpee_C,MA,354,PIRI,Pinus rigida,2,0,0,2
Mashpee_C,MA,355,PIRI,Pinus rigida,1,0,0,0
Mashpee_C,MA,356,NA,No species found,0,0,0,0
