Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout,Germinate
APB_Dandy,ALB,822,NA,No species found,0,0,0,0
APB_Dandy,ALB,821,AMSP,Amelanchier spp.,3,0,0,0
APB_Dandy,ALB,821,QUCO,Quercus coccinea,1,0,0,0
APB_Dandy,ALB,821,ACRU,Acer rubrum,14,1,0,3
APB_Dandy,ALB,821,QUIL,Quercus ilicifolia,1,0,0,0
APB_Dandy,ALB,820,QUIL,Quercus ilicifolia,2,0,0,0
APB_Dandy,ALB,820,ACRU,Acer rubrum,3,0,0,3
APB_Dandy,ALB,820,AMSP,Amelanchier spp.,2,0,0,0
APB_Dandy,ALB,819,ACRU,Acer rubrum,2,0,0,1
APB_Dandy,ALB,819,QUIL,Quercus ilicifolia,1,0,0,0
APB_Dandy,ALB,819,QUPR,Quercus prinoides,20,0,0,0
APB_Chubb_E,ALB,888,QUPR,Quercus prinoides,3,0,0,0
APB_Chubb_E,ALB,888,QUIL,Quercus ilicifolia,2,0,0,0
APB_Chubb_E,ALB,888,ACRU,Acer rubrum,1,0,0,0
APB_Chubb_E,ALB,888,MASP,Malus species,1,0,0,0
APB_Chubb_E,ALB,888,PRSE,Prunus serotina,1,0,0,0
APB_Chubb_E,ALB,888,AMSP,Amelanchier spp.,1,1,0,0
APB_Chubb_E,ALB,888,RHCA,Rhamnus cathartica,1,0,0,0
APB_Chubb_E,ALB,887,PRSE,Prunus serotina,2,0,0,0
APB_Chubb_E,ALB,887,ACRU,Acer rubrum,1,1,0,0
APB_Chubb_E,ALB,886,ACRU,Acer rubrum,3,3,0,0
APB_Chubb_E,ALB,886,PRSE,Prunus serotina,2,0,0,0
APB_Chubb_E,ALB,885,NA,No species found,0,0,0,0
APB_Chubb_E,ALB,884,PRSE,Prunus serotina,1,0,0,0
APB_Chubb_E,ALB,883,ACRU,Acer rubrum,7,2,0,0
APB_Chubb_E,ALB,883,PRSE,Prunus serotina,3,0,0,0
APB_Chubb_E,ALB,883,QUPR,Quercus prinoides,2,0,0,0
APB_Chubb_E,ALB,882,NA,No species found,0,0,0,0
APB_Chubb_E,ALB,881,ACRU,Acer rubrum,8,2,0,0
APB_Chubb_E,ALB,881,QUIL,Quercus ilicifolia,1,0,0,0
APB_Chubb_E,ALB,880,QUPR,Quercus prinoides,17,0,5,0
APB_Chubb_E,ALB,880,ACRU,Acer rubrum,2,0,0,0
APB_Chubb_E,ALB,880,PRSE,Prunus serotina,2,1,0,0
APB_Chubb_E,ALB,879,ACRU,Acer rubrum,2,0,0,0
APB_Chubb_E,ALB,879,QUPR,Quercus prinoides,6,0,0,0
APB_Chubb_E,ALB,878,ACRU,Acer rubrum,14,2,0,0
APB_Chubb_E,ALB,878,QUIL,Quercus ilicifolia,2,0,0,0
APB_Chubb_E,ALB,878,PRSE,Prunus serotina,2,0,0,0
APB_Chubb_E,ALB,878,QUPR,Quercus prinoides,9,0,0,0
APB_Chubb_E,ALB,878,PIRI,Pinus rigida,1,1,0,0
APB_Chubb_E,ALB,877,QUIL,Quercus ilicifolia,2,0,0,0
APB_Chubb_E,ALB,877,ACRU,Acer rubrum,1,0,0,0
APB_Chubb_E,ALB,877,QUPR,Quercus prinoides,2,0,0,0
APB_Chubb_E,ALB,876,ACRU,Acer rubrum,2,1,0,0
APB_Chubb_E,ALB,876,QUPR,Quercus prinoides,4,0,0,0
APB_Chubb_E,ALB,876,QUIL,Quercus ilicifolia,1,0,0,0
APB_Chubb_E,ALB,875,ACRU,Acer rubrum,10,0,0,0
APB_Chubb_E,ALB,875,PRSE,Prunus serotina,2,0,0,0
APB_Chubb_E,ALB,874,PIRI,Pinus rigida,1,1,0,0
APB_Chubb_E,ALB,874,ACRU,Acer rubrum,1,0,0,0
APB_Chubb_E,ALB,874,BELE,Betula lenta,5,3,2,0
APB_Chubb_E,ALB,873,QUCO,Quercus coccinea,1,1,0,0
APB_Chubb_E,ALB,873,PRVI,Prunus virginiana,3,1,0,0
APB_Chubb_E,ALB,872,QUIL,Quercus ilicifolia,1,0,0,0
APB_Chubb_E,ALB,872,ACRU,Acer rubrum,1,1,0,0
APB_Chubb_E,ALB,872,QUCO,Quercus coccinea,1,0,0,0
APB_Chubb_E,ALB,871,ACRU,Acer rubrum,2,0,0,0
APB_Chubb_E,ALB,871,PRSE,Prunus serotina,1,0,0,0
APB_Chubb_E,ALB,871,QUPR,Quercus prinoides,1,0,0,0
APB_Chubb_E,ALB,871,ROPS,Robinia pseudoacacia,1,0,0,0
APB_Chubb_E,ALB,870,ACRU,Acer rubrum,1,0,0,0
APB_Chubb_E,ALB,870,QUIL,Quercus ilicifolia,2,0,0,0
APB_Chubb_E,ALB,869,ACRU,Acer rubrum,5,2,0,0
APB_Chubb_E,ALB,868,ACRU,Acer rubrum,1,0,0,0
APB_Chubb_E,ALB,868,QUIL,Quercus ilicifolia,1,0,0,0
APB_Chubb_E,ALB,867,ACRU,Acer rubrum,1,0,0,0
TNCO_ESDB2,NH,281,QUIL,Quercus ilicifolia,3,0,0,0
TNCO_ESDB2,NH,282,QUIL,Quercus ilicifolia,8,0,0,0
TNCO_ESDB2,NH,283,NA,No species found,0,0,0,0
TNCO_ESDB2,NH,284,QUIL,Quercus ilicifolia,11,0,0,0
TNCO_ESDB2,NH,285,QUIL,Quercus ilicifolia,8,0,0,0
TNCO_ESDB2,NH,286,QUIL,Quercus ilicifolia,12,0,0,0
TNCO_ESDB2,NH,287,QUIL,Quercus ilicifolia,4,0,0,0
TNCO_ESDB2,NH,288,QUIL,Quercus ilicifolia,12,0,0,0
TNCO_ESDB2,NH,289,QUIL,Quercus ilicifolia,6,0,0,0
TNCO_ESDB2,NH,290,QUIL,Quercus ilicifolia,4,0,0,0
TNCO_ESDB2,NH,291,QUIL,Quercus ilicifolia,2,0,0,0
TNCO_ESDB2,NH,292,NA,No species found,0,0,0,0
TNCO_ESDB2,NH,293,NA,No species found,0,0,0,0
TNCO_ESDB2,NH,294,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_ESDB2,NH,295,QUIL,Quercus ilicifolia,2,0,0,0
TNCO_ESDB2,NH,296,NA,No species found,0,0,0,0
TNCO_ESDB2,NH,297,NA,No species found,0,0,0,0
TNCO_ESDB2,NH,298,QUIL,Quercus ilicifolia,3,0,0,0
TNCO_ESDB2,NH,299,PIRI,Pinus rigida,1,1,0,0
TNCO_ESDB2,NH,299,PIST,Pinus strobus,1,0,0,0
TNCO_ESDB2,NH,299,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_ESDB2,NH,300,NA,No species found,0,0,0,0
TNCO_ESDB2,NH,301,NA,No species found,0,0,0,0
TNCO_ESDB2,NH,302,NA,No species found,0,0,0,0
TNCO_ESDB2,NH,303,AMSP,Amelanchier spp.,2,0,0,0
TNCO_WB1,NH,236,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_WB1,NH,237,QUIL,Quercus ilicifolia,4,0,0,0
TNCO_WB1,NH,238,NA,No species found,0,0,0,0
TNCO_WB1,NH,239,NA,No species found,0,0,0,0
TNCO_WB1,NH,240,NA,No species found,0,0,0,0
TNCO_WB1,NH,241,NA,No species found,0,0,0,0
TNCO_WB1,NH,242,NA,No species found,0,0,0,0
TNCO_WB1,NH,243,NA,No species found,0,0,0,0
TNCO_WB1,NH,244,QUIL,Quercus ilicifolia,2,0,0,0
TNCO_WB1,NH,245,NA,No species found,0,0,0,0
TNCO_WB1,NH,246,AMSP,Amelanchier spp.,1,0,0,0
TNCO_WB1,NH,247,NA,No species found,0,0,0,0
