Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout,Germinate
CE_BP20,MA,569,PIRI,Pinus rigida,2,1,0,0
CE_BP20,MA,568,NA,No species found,0,0,0,0
CE_BP20,MA,567,NA,No species found,0,0,0,0
CE_BP20,MA,566,NA,No species found,0,0,0,0
CE_BP20,MA,565,SAAL,Sassafras albidum,1,0,0,0
CE_BP20,MA,565,QUPR,Quercus prinoides,8,0,0,0
CE_BP20,MA,564,NA,No species found,0,0,0,0
CE_BP20,MA,563,QUCO,Quercus coccinea,2,0,0,0
CE_BP20,MA,562,SAAL,Sassafras albidum,1,0,0,0
CE_BP20,MA,562,PIRI,Pinus rigida,1,1,0,0
CE_BP20,MA,562,AMSP,Amelanchier spp.,1,0,0,0
CE_BP20,MA,561,PIRI,Pinus rigida,16,2,12,1
CE_BP20,MA,560,PIRI,Pinus rigida,3,2,0,0
CE_BP20,MA,560,SAAL,Sassafras albidum,11,0,17,0
CE_BP20,MA,559,QUAL,Quercus alba,7,0,0,0
CE_BP20,MA,558,PIRI,Pinus rigida,2,0,0,0
CE_BP20,MA,557,QUIL,Quercus ilicifolia,1,0,0,0
CE_BP20,MA,556,NA,No species found,0,0,0,0
CE_BP20,MA,555,ACRU,Acer rubrum,2,0,0,0
CE_BP20,MA,555,SAAL,Sassafras albidum,1,0,0,0
CE_BP20,MA,554,PIRI,Pinus rigida,1,1,0,0
CE_BP20,MA,553,PIRI,Pinus rigida,2,1,0,0
CE_BP20,MA,553,ACRU,Acer rubrum,2,0,0,0
CE_BP20,MA,552,PIRI,Pinus rigida,3,2,0,0
CE_BP20,MA,551,SAAL,Sassafras albidum,10,0,5,0
CE_BP20,MA,551,PIRI,Pinus rigida,5,4,0,1
CE_BP20,MA,550,PIRI,Pinus rigida,1,1,0,0
CE_BP20,MA,549,PIRI,Pinus rigida,4,0,0,1
CE_BP20,MA,548,QUCO,Quercus coccinea,1,0,0,0
CE_BP20,MA,548,SAAL,Sassafras albidum,1,0,0,0
CE_BP20,MA,547,PIRI,Pinus rigida,3,0,0,0
CE_Wheelock,MA,546,QUCO,Quercus coccinea,2,2,0,0
CE_Wheelock,MA,546,PIRI,Pinus rigida,2,1,0,0
CE_Wheelock,MA,545,NA,No species found,0,0,0,0
CE_Wheelock,MA,544,PIRI,Pinus rigida,3,2,0,0
CE_Wheelock,MA,543,NA,No species found,0,0,0,0
CE_Wheelock,MA,542,NA,No species found,0,0,0,0
CE_Wheelock,MA,541,NA,No species found,0,0,0,0
CE_Wheelock,MA,540,QUIL,Quercus ilicifolia,2,0,0,0
CE_Wheelock,MA,540,AMSP,Amelanchier spp.,3,0,0,0
CE_Wheelock,MA,540,PIRI,Pinus rigida,1,0,0,0
CE_Wheelock,MA,539,NA,No species found,0,0,0,0
CE_Wheelock,MA,538,SAAL,Sassafras albidum,5,0,0,0
CE_Wheelock,MA,537,NA,No species found,0,0,0,0
CE_Wheelock,MA,536,QUCO,Quercus coccinea,1,0,1,0
CE_Wheelock,MA,535,PIRI,Pinus rigida,4,1,0,0
CE_Wheelock,MA,535,SAAL,Sassafras albidum,2,0,0,0
CE_Wheelock,MA,535,QUIL,Quercus ilicifolia,1,0,0,0
CE_Wheelock,MA,534,QUIL,Quercus ilicifolia,2,0,0,0
CE_Wheelock,MA,534,PIRI,Pinus rigida,1,0,0,0
CE_Wheelock,MA,533,NA,No species found,0,0,0,0
CE_Wheelock,MA,532,NA,No species found,0,0,0,0
CE_Wheelock,MA,531,PIRI,Pinus rigida,3,1,0,0
CE_Wheelock,MA,530,NA,No species found,0,0,0,0
CE_Wheelock,MA,529,QUCO,Quercus coccinea,1,0,0,0
CE_Wheelock,MA,528,NA,No species found,0,0,0,0
CE_Wheelock,MA,527,SAAL,Sassafras albidum,15,0,5,0
CE_Wheelock,MA,526,NA,No species found,0,0,0,0
CE_Wheelock,MA,525,NA,No species found,0,0,0,0
CE_Wheelock,MA,524,PIRI,Pinus rigida,2,0,0,0
