Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout,Germinate
TNCO_Hobbs5,NH,968,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_Hobbs5,NH,968,PIRI,Pinus rigida,4,3,0,0
TNCO_Hobbs5,NH,967,QUIL,Quercus ilicifolia,3,0,0,0
TNCO_Hobbs5,NH,966,PIST,Pinus strobus,2,0,0,0
TNCO_Hobbs5,NH,965,PIRI,Pinus rigida,1,1,0,0
TNCO_Hobbs5,NH,965,ACRU,Acer rubrum,2,1,0,0
TNCO_Hobbs5,NH,964,ACRU,Acer rubrum,1,0,0,0
TNCO_Hobbs5,NH,964,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_Hobbs5,NH,964,PRSE,Prunus serotina,1,0,0,0
TNCO_Hobbs5,NH,963,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_Hobbs5,NH,963,ACRU,Acer rubrum,1,0,0,0
TNCO_Hobbs5,NH,962,NA,No species found,0,0,0,0
TNCO_Hobbs5,NH,961,PIRI,Pinus rigida,9,7,0,0
TNCO_Hobbs5,NH,960,ACRU,Acer rubrum,4,0,0,0
TNCO_Hobbs5,NH,960,PIRI,Pinus rigida,2,0,0,0
TNCO_Hobbs5,NH,960,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_Hobbs5,NH,959,ACRU,Acer rubrum,1,0,0,0
TNCO_Hobbs5,NH,958,NA,No species found,0,0,0,0
SPNHF_Harmon,NH,1143,QUIL,Quercus ilicifolia,8,0,0,0
SPNHF_Harmon,NH,1142,QUIL,Quercus ilicifolia,6,0,0,0
SPNHF_Harmon,NH,1142,ACRU,Acer rubrum,1,1,0,0
SPNHF_Harmon,NH,1141,QUIL,Quercus ilicifolia,8,0,0,0
SPNHF_Harmon,NH,1140,QUIL,Quercus ilicifolia,1,0,0,0
SPNHF_Harmon,NH,1139,NA,No species found,0,0,0,0
SPNHF_Harmon,NH,1138,ACRU,Acer rubrum,2,1,0,0
SPNHF_Harmon,NH,1138,QUIL,Quercus ilicifolia,1,0,0,0
SPNHF_Harmon,NH,1137,ACRU,Acer rubrum,3,1,2,0
SPNHF_Harmon,NH,1137,QUIL,Quercus ilicifolia,13,0,0,0
SPNHF_Harmon,NH,1136,QUIL,Quercus ilicifolia,2,0,0,0
SPNHF_Harmon,NH,1135,QUIL,Quercus ilicifolia,5,0,0,0
SPNHF_Harmon,NH,1135,ACRU,Acer rubrum,3,3,0,0
SPNHF_Harmon,NH,1134,QUIL,Quercus ilicifolia,1,0,0,0
SPNHF_Harmon,NH,1133,QUIL,Quercus ilicifolia,2,0,0,0
SPNHF_Harmon,NH,1133,ACRU,Acer rubrum,1,1,0,0
SPNHF_Harmon,NH,1132,QUIL,Quercus ilicifolia,2,0,0,0
SPNHF_Harmon,NH,1131,ACRU,Acer rubrum,2,1,0,0
SPNHF_Harmon,NH,1130,ACRU,Acer rubrum,10,7,0,0
SPNHF_Harmon,NH,1130,QUIL,Quercus ilicifolia,6,0,0,0
SPNHF_Harmon,NH,1129,NA,No species found,0,0,0,0
SPNHF_Harmon,NH,1128,ACRU,Acer rubrum,2,2,0,0
SPNHF_Harmon,NH,1127,QUIL,Quercus ilicifolia,4,0,0,0
SPNHF_Harmon,NH,1126,QUIL,Quercus ilicifolia,5,0,0,0
SPNHF_Harmon,NH,1125,QUIL,Quercus ilicifolia,1,0,0,0
SPNHF_Harmon,NH,1124,NA,No species found,0,0,0,0
SPNHF_Harmon,NH,1123,NA,No species found,0,0,0,0
SPNHF_Harmon,NH,1122,QUIL,Quercus ilicifolia,7,0,0,0
SPNHF_Harmon,NH,1121,QUIL,Quercus ilicifolia,4,0,0,0
SPNHF_Harmon,NH,1120,QUIL,Quercus ilicifolia,11,0,0,0
SPNHF_Harmon,NH,1120,PIRI,Pinus rigida,1,1,0,0
TNCW_7SW,ME,1009,QUIL,Quercus ilicifolia,2,0,0,0
TNCW_7SW,ME,1008,QUIL,Quercus ilicifolia,24,0,0,0
TNCW_7SW,ME,1007,QUIL,Quercus ilicifolia,9,0,0,0
TNCW_7SW,ME,1006,PIST,Pinus strobus,1,1,0,0
TNCW_7SW,ME,1006,QUIL,Quercus ilicifolia,7,0,0,0
TNCW_7SW,ME,1006,ACRU,Acer rubrum,1,0,0,0
TNCW_7SW,ME,1005,AMSP,Amelanchier spp.,3,1,0,0
TNCW_7SW,ME,1005,QUIL,Quercus ilicifolia,1,0,0,0
TNCW_7SW,ME,1004,QUIL,Quercus ilicifolia,17,0,0,0
TNCW_7SW,ME,1004,ACRU,Acer rubrum,1,0,0,0
TNCW_7SW,ME,1004,BEPO,Betula populifolia,1,0,0,1
TNCW_7SW,ME,1003,ACRU,Acer rubrum,1,0,0,0
TNCW_7SW,ME,1003,QUIL,Quercus ilicifolia,2,0,0,0
TNCW_7SW,ME,1002,QUIL,Quercus ilicifolia,9,0,0,0
TNCW_7SW,ME,1001,QUIL,Quercus ilicifolia,6,0,0,0
TNCW_7SW,ME,1000,QUIL,Quercus ilicifolia,4,0,0,0
TNCW_7SW,ME,1000,ACRU,Acer rubrum,5,2,0,0
TNCW_7SW,ME,1000,AMSP,Amelanchier spp.,1,1,0,1
TNCW_7SW,ME,999,QUIL,Quercus ilicifolia,3,1,0,0
TNCW_7SW,ME,998,PRSE,Prunus serotina,1,0,0,0
TNCW_7SW,ME,998,QUIL,Quercus ilicifolia,4,0,0,0
TNCW_7SW,ME,998,ACRU,Acer rubrum,1,0,0,1
TNCW_7SW,ME,997,ACRU,Acer rubrum,9,2,0,1
TNCW_7SW,ME,997,QUIL,Quercus ilicifolia,1,0,0,0
TNCW_7SW,ME,996,ACRU,Acer rubrum,10,0,0,8
TNCW_7SW,ME,995,QUIL,Quercus ilicifolia,1,0,0,0
TNCW_7SW,ME,994,QUIL,Quercus ilicifolia,9,0,0,0
TNCW_7SW,ME,993,QUIL,Quercus ilicifolia,2,0,0,0
TNCW_7SW,ME,992,ACRU,Acer rubrum,6,0,0,0
TNCW_7SW,ME,992,QUIL,Quercus ilicifolia,4,0,0,0
TNCW_7SW,ME,992,PRSE,Prunus serotina,1,0,0,0
TNCW_7SW,ME,991,QUIL,Quercus ilicifolia,13,0,0,0
TNCW_7SW,ME,990,QUIL,Quercus ilicifolia,5,0,0,0
TNCW_7SW,ME,990,PIST,Pinus strobus,1,1,0,0
