Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout
RPD2_B6,LI,184,QUAL,Quercus alba,5,2,0
RPD2_B6,LI,184,QUIL,Quercus ilicifolia,3,0,0
RPD2_B6,LI,185,QUCO,Quercus coccinea,5,0,4
RPD2_B6,LI,185,QUAL,Quercus alba,1,1,0
RPD2_B6,LI,185,QUVE,Quercus velutina,2,1,0
RPD2_B6,LI,186,QUCO,Quercus coccinea,10,1,0
RPD2_B6,LI,186,QUAL,Quercus alba,1,0,0
RPD2_B6,LI,186,QUIL,Quercus ilicifolia,2,0,0
RPD2_B5,LI,160,QUAL,Quercus alba,6,0,0
RPD2_B5,LI,160,QUCO,Quercus coccinea,20,2,0
RPD2_B5,LI,160,QUIL,Quercus ilicifolia,6,0,0
RPD2_B5,LI,161,QUCO,Quercus coccinea,4,0,0
RPD2_B5,LI,161,QUAL,Quercus alba,2,0,0
RPD2_B5,LI,161,QUVE,Quercus velutina,1,1,0
RPD2_B5,LI,162,QUAL,Quercus alba,18,18,18
RPD2_B5,LI,163,QUIL,Quercus ilicifolia,15,0,0
RPD2_B5,LI,164,QUCO,Quercus coccinea,9,0,9
RPD2_B5,LI,164,QUIL,Quercus ilicifolia,1,0,0
RPD2_B5,LI,165,QUIL,Quercus ilicifolia,13,0,0
RPD2_B5,LI,165,QUCO,Quercus coccinea,2,0,0
RPD2_B5,LI,166,QUCO,Quercus coccinea,6,0,1
RPD2_B5,LI,166,QUIL,Quercus ilicifolia,8,0,0
RPD2_B5,LI,166,QUAL,Quercus alba,4,0,0
RPD2_B5,LI,167,QUCO,Quercus coccinea,23,4,17
RPD2_B5,LI,167,QUAL,Quercus alba,1,0,0
RPD2_B5,LI,168,QUIL,Quercus ilicifolia,7,0,0
RPD2_B5,LI,168,QUCO,Quercus coccinea,3,0,0
APB_Hoffman,ALB,911,FRAL,Frangula alnus,5,0,0
APB_Hoffman,ALB,911,QUVE,Quercus velutina,2,0,0
APB_Hoffman,ALB,911,QUPR,Quercus prinoides,5,0,0
APB_Hoffman,ALB,911,PRSE,Prunus serotina,2,0,0
APB_Hoffman,ALB,910,QUCO,Quercus coccinea,3,0,0
APB_Hoffman,ALB,909,PRSE,Prunus serotina,2,0,0
APB_Hoffman,ALB,908,PODE,Populus deltoides,2,1,0
APB_Hoffman,ALB,908,SAAL,Sassafras albidum,1,0,0
APB_Hoffman,ALB,907,PRSE,Prunus serotina,1,0,0
APB_Hoffman,ALB,906,PRSE,Prunus serotina,1,0,0
APB_Hoffman,ALB,906,QUCO,Quercus coccinea,2,0,0
APB_Hoffman,ALB,906,POGR,Populus grandidentata,1,0,0
APB_Hoffman,ALB,905,QUCO,Quercus coccinea,3,0,0
APB_Hoffman,ALB,905,PRSE,Prunus serotina,9,0,0
APB_Hoffman,ALB,904,QUPA,Quercus palustris,2,0,0
APB_Hoffman,ALB,904,PIRI,Pinus rigida,1,0,0
APB_Hoffman,ALB,904,PRVI,Prunus virginiana,3,0,0
APB_Hoffman,ALB,903,NA,No species found,0,0,0
APB_Hoffman,ALB,902,PODE,Populus deltoides,3,0,0
APB_Hoffman,ALB,902,ACNE,Acer negundo,2,0,0
APB_Hoffman,ALB,901,QUCO,Quercus coccinea,1,0,0
APB_Hoffman,ALB,901,FRAL,Frangula alnus,3,3,0
APB_Hoffman,ALB,900,PRSE,Prunus serotina,1,0,0
APB_Hoffman,ALB,899,PRSE,Prunus serotina,1,0,0
APB_Hoffman,ALB,899,QUCO,Quercus coccinea,1,0,0
APB_Hoffman,ALB,898,PODE,Populus deltoides,2,0,0
APB_Hoffman,ALB,897,QUVE,Quercus velutina,1,0,0
APB_Hoffman,ALB,896,POGR,Populus grandidentata,3,1,0
APB_Hoffman,ALB,895,NA,No species found,0,0,0
APB_Hoffman,ALB,894,QUPR,Quercus prinoides,3,0,0
APB_Hoffman,ALB,893,PRSE,Prunus serotina,2,0,0
APB_Hoffman,ALB,892,POGR,Populus grandidentata,1,0,0
APB_Hoffman,ALB,891,BEPO,Betula populifolia,2,0,0
APB_Hoffman,ALB,891,AMSP,Amelanchier spp.,1,0,0
APB_Hoffman,ALB,890,QUIL,Quercus ilicifolia,1,0,0
APB_Hoffman,ALB,889,POGR,Populus grandidentata,11,0,0
APB_Hoffman,ALB,889,POTR,Populus tremuloides,5,0,0
APB_Hoffman,ALB,889,QUVE,Quercus velutina,1,0,0
APB_Hoffman,ALB,889,BEPO,Betula populifolia,3,0,0
APB_Hoffman,ALB,889,QUCO,Quercus coccinea,2,0,0
APB_Hoffman,ALB,889,ACRU,Acer rubrum,1,0,0
APB_HuckMound,ALB,795,QUIL,Quercus ilicifolia,3,0,0
APB_HuckMound,ALB,795,QUCO,Quercus coccinea,1,0,1
APB_HuckMound,ALB,794,QUIL,Quercus ilicifolia,17,0,0
APB_HuckMound,ALB,794,QUPR,Quercus prinoides,4,0,0
APB_HuckMound,ALB,794,AMSP,Amelanchier spp.,1,0,0
APB_HuckMound,ALB,793,QUPR,Quercus prinoides,6,0,0
APB_HuckMound,ALB,793,QUIL,Quercus ilicifolia,23,0,0
APB_HuckMound,ALB,793,SAAL,Sassafras albidum,2,0,0
APB_HuckMound,ALB,792,QUIL,Quercus ilicifolia,4,0,0
APB_HuckMound,ALB,792,QUPR,Quercus prinoides,5,0,0
APB_HuckMound,ALB,792,QUCO,Quercus coccinea,1,0,0
APB_HuckMound,ALB,791,QUIL,Quercus ilicifolia,9,0,0
APB_HuckMound,ALB,791,QUPR,Quercus prinoides,13,0,0
APB_HuckMound,ALB,790,QUPR,Quercus prinoides,38,0,0
APB_HuckMound,ALB,790,QUIL,Quercus ilicifolia,17,0,0
APB_HuckMound,ALB,790,PRSE,Prunus serotina,2,0,0
APB_HuckMound,ALB,789,QUPR,Quercus prinoides,12,0,0
APB_HuckMound,ALB,789,QUIL,Quercus ilicifolia,7,0,0
APB_HuckMound,ALB,788,QUIL,Quercus ilicifolia,18,0,0
APB_HuckMound,ALB,788,QUPR,Quercus prinoides,16,0,0
APB_HuckMound,ALB,788,POGR,Populus grandidentata,1,0,0
APB_HuckMound,ALB,787,QUPR,Quercus prinoides,84,0,0
APB_HuckMound,ALB,787,QUIL,Quercus ilicifolia,4,0,0
APB_HuckMound,ALB,786,QUIL,Quercus ilicifolia,31,0,0
APB_HuckMound,ALB,786,POGR,Populus grandidentata,1,0,0
APB_HuckMound,ALB,786,QUPR,Quercus prinoides,7,0,0
APB_HuckMound,ALB,785,QUPR,Quercus prinoides,59,0,0
APB_HuckMound,ALB,785,QUIL,Quercus ilicifolia,15,0,0
APB_HuckMound,ALB,784,QUPR,Quercus prinoides,17,0,0
APB_HuckMound,ALB,784,QUIL,Quercus ilicifolia,16,0,0
APB_HuckMound,ALB,784,PRVI,Prunus virginiana,4,0,0
APB_HuckMound,ALB,783,QUIL,Quercus ilicifolia,22,0,0
APB_HuckMound,ALB,783,QUPR,Quercus prinoides,12,0,0
APB_HuckMound,ALB,782,QUIL,Quercus ilicifolia,2,0,0
APB_HuckMound,ALB,782,QUPR,Quercus prinoides,46,0,0
