Site,Region,Plot_No,Species_Code,Latin_Name,Live_Total,Dead_Total
APB_Chubb_E,ALB,874,PIRI,Pinus rigida,5,0
APB_Chubb_E,ALB,874,QUCO,Quercus coccinea,1,0
APB_Chubb_E,ALB,873,PIRI,Pinus rigida,7,0
APB_Chubb_E,ALB,872,PIRI,Pinus rigida,7,0
APB_Chubb_E,ALB,871,PIRI,Pinus rigida,3,0
APB_Chubb_E,ALB,871,QUCO,Quercus coccinea,2,0
APB_Chubb_E,ALB,870,QUCO,Quercus coccinea,2,0
APB_Chubb_E,ALB,869,PIRI,Pinus rigida,4,0
APB_Chubb_E,ALB,868,PIRI,Pinus rigida,4,0
APB_Chubb_E,ALB,867,PIRI,Pinus rigida,5,0
APB_Chubb_E,ALB,867,QUCO,Quercus coccinea,1,0
APB_Humdinger,ALB,705,PIRI,Pinus rigida,4,0
APB_Humdinger,ALB,705,QUCO,Quercus coccinea,1,0
APB_Humdinger,ALB,704,PIRI,Pinus rigida,5,0
APB_Humdinger,ALB,703,PIRI,Pinus rigida,2,0
APB_Humdinger,ALB,703,QUCO,Quercus coccinea,1,0
APB_Humdinger,ALB,702,PIRI,Pinus rigida,1,0
APB_Humdinger,ALB,702,QUCO,Quercus coccinea,1,0
APB_Humdinger,ALB,701,PIRI,Pinus rigida,5,1
APB_Humdinger,ALB,700,PIRI,Pinus rigida,2,0
APB_Humdinger,ALB,699,PIRI,Pinus rigida,2,0
APB_Humdinger,ALB,698,PIRI,Pinus rigida,3,0
APB_Humdinger,ALB,697,PIRI,Pinus rigida,1,0
APB_Humdinger,ALB,696,PIRI,Pinus rigida,2,1
APB_Humdinger,ALB,695,PIRI,Pinus rigida,2,1
APB_Humdinger,ALB,694,PIRI,Pinus rigida,3,1
APB_Humdinger,ALB,693,PIRI,Pinus rigida,3,0
APB_Humdinger,ALB,692,PIRI,Pinus rigida,3,0
APB_Humdinger,ALB,691,PIRI,Pinus rigida,4,0
APB_Humdinger,ALB,690,PIRI,Pinus rigida,4,0
APB_Humdinger,ALB,689,PIRI,Pinus rigida,5,0
APB_Humdinger,ALB,688,PIRI,Pinus rigida,7,0
APB_Humdinger,ALB,687,QUCO,Quercus coccinea,1,1
APB_Humdinger,ALB,687,PIRI,Pinus rigida,0,1
APB_Humdinger,ALB,686,PIRI,Pinus rigida,3,0
APB_Humdinger,ALB,685,PIRI,Pinus rigida,1,1
APB_Humdinger,ALB,684,NA,No species found,0,0
APB_Humdinger,ALB,683,PIRI,Pinus rigida,5,0
APB_Humdinger,ALB,682,PIRI,Pinus rigida,8,0
APB_Humdinger,ALB,682,QUVE,Quercus velutina,1,0
APB_Bivy,ALB,750,PIRI,Pinus rigida,5,0
APB_Bivy,ALB,749,PIRI,Pinus rigida,1,0
APB_Bivy,ALB,748,NA,No species found,0,0
APB_Bivy,ALB,747,PIRI,Pinus rigida,3,0
APB_Bivy,ALB,746,PIRI,Pinus rigida,1,1
APB_Bivy,ALB,745,NA,No species found,0,0
APB_Bivy,ALB,744,NA,No species found,0,0
APB_Bivy,ALB,743,PIRI,Pinus rigida,2,0
APB_Bivy,ALB,742,PIRI,Pinus rigida,1,0
APB_Bivy,ALB,741,PIRI,Pinus rigida,8,0
APB_Bivy,ALB,740,PIRI,Pinus rigida,1,0
APB_Bivy,ALB,739,PIRI,Pinus rigida,1,0
APB_Bivy,ALB,738,PIRI,Pinus rigida,1,0
APB_Bivy,ALB,737,PIRI,Pinus rigida,2,0
APB_Bivy,ALB,736,PIRI,Pinus rigida,3,0
APB_Bivy,ALB,735,PIRI,Pinus rigida,7,0
APB_Bivy,ALB,734,PIRI,Pinus rigida,9,0
APB_Bivy,ALB,733,NA,No species found,0,0
APB_Bivy,ALB,732,PIRI,Pinus rigida,3,0
APB_Bivy,ALB,731,PIRI,Pinus rigida,1,0
APB_Bivy,ALB,730,NA,No species found,0,0
APB_Bivy,ALB,729,NA,No species found,0,0
APB_Alleycat,ALB,866,PIRI,Pinus rigida,3,0
APB_Alleycat,ALB,865,PIRI,Pinus rigida,2,0
APB_Alleycat,ALB,864,PRSE,Prunus serotina,1,0
APB_Alleycat,ALB,864,PIRI,Pinus rigida,4,0
APB_Alleycat,ALB,863,PIRI,Pinus rigida,5,0
APB_Alleycat,ALB,863,PRSE,Prunus serotina,3,0
APB_Alleycat,ALB,862,PIRI,Pinus rigida,4,0
APB_Alleycat,ALB,861,PIRI,Pinus rigida,6,2
