Site,Region,Plot_No,Species_Code,Latin_Name,Live_Total,Dead_Total
Mashpee_G3,MA,349,PIRI,Pinus rigida,5,0
Mashpee_G3,MA,350,PIRI,Pinus rigida,4,0
CE_BP20,MA,569,PIRI,Pinus rigida,3,0
CE_BP20,MA,569,QUCO,Quercus coccinea,1,0
CE_BP20,MA,568,PIRI,Pinus rigida,8,0
CE_BP20,MA,568,QUCO,Quercus coccinea,2,0
CE_BP20,MA,567,PIRI,Pinus rigida,11,0
CE_BP20,MA,567,QUAL,Quercus alba,1,0
CE_BP20,MA,566,QUAL,Quercus alba,1,0
CE_BP20,MA,566,QUCO,Quercus coccinea,1,0
CE_BP20,MA,566,PIRI,Pinus rigida,1,0
CE_BP20,MA,565,PIRI,Pinus rigida,12,0
CE_BP20,MA,564,QUCO,Quercus coccinea,2,0
CE_BP20,MA,564,PIRI,Pinus rigida,5,0
CE_BP20,MA,564,QUAL,Quercus alba,1,0
CE_BP20,MA,563,NA,No species found,0,0
CE_BP20,MA,562,NA,No species found,0,0
CE_BP20,MA,561,PIRI,Pinus rigida,2,0
CE_BP20,MA,560,QUCO,Quercus coccinea,1,0
CE_BP20,MA,560,PIRI,Pinus rigida,1,0
CE_BP20,MA,559,QUCO,Quercus coccinea,2,0
CE_BP20,MA,559,PIRI,Pinus rigida,2,0
CE_BP20,MA,559,QUAL,Quercus alba,1,0
CE_BP20,MA,558,PIRI,Pinus rigida,2,0
CE_BP20,MA,557,PIRI,Pinus rigida,4,0
CE_BP20,MA,557,QUCO,Quercus coccinea,2,0
CE_BP20,MA,556,PIRI,Pinus rigida,6,0
CE_BP20,MA,556,QUCO,Quercus coccinea,1,0
CE_BP20,MA,555,PIRI,Pinus rigida,4,0
CE_BP20,MA,555,QUCO,Quercus coccinea,1,0
CE_BP20,MA,554,PIRI,Pinus rigida,1,0
CE_BP20,MA,553,QUCO,Quercus coccinea,2,0
CE_BP20,MA,553,ACRU,Acer rubrum,2,0
CE_BP20,MA,553,PIRI,Pinus rigida,2,0
CE_BP20,MA,552,QUCO,Quercus coccinea,3,0
CE_BP20,MA,552,PIRI,Pinus rigida,3,0
CE_BP20,MA,551,QUCO,Quercus coccinea,2,0
CE_BP20,MA,550,PIRI,Pinus rigida,2,0
CE_BP20,MA,550,QUCO,Quercus coccinea,1,0
CE_BP20,MA,549,PIRI,Pinus rigida,3,0
CE_BP20,MA,549,QUCO,Quercus coccinea,1,0
CE_BP20,MA,548,QUCO,Quercus coccinea,2,0
CE_BP20,MA,548,PIRI,Pinus rigida,2,0
CE_BP20,MA,547,QUCO,Quercus coccinea,1,0
CE_BP20,MA,547,QUAL,Quercus alba,1,0
CE_BP20,MA,547,PIRI,Pinus rigida,1,1
CE_Wheelock,MA,546,QUAL,Quercus alba,1,0
CE_Wheelock,MA,545,QUCO,Quercus coccinea,1,0
CE_Wheelock,MA,545,QUAL,Quercus alba,1,0
CE_Wheelock,MA,544,NA,No species found,0,0
CE_Wheelock,MA,543,NA,No species found,0,0
CE_Wheelock,MA,542,PIRI,Pinus rigida,1,1
CE_Wheelock,MA,541,NA,No species found,0,0
CE_Wheelock,MA,540,QUAL,Quercus alba,1,0
CE_Wheelock,MA,539,PIRI,Pinus rigida,0,1
CE_Wheelock,MA,538,QUCO,Quercus coccinea,1,0
CE_Wheelock,MA,537,PIRI,Pinus rigida,2,1
CE_Wheelock,MA,536,PIRI,Pinus rigida,0,1
CE_Wheelock,MA,536,QUCO,Quercus coccinea,1,0
CE_Wheelock,MA,535,QUAL,Quercus alba,1,0
CE_Wheelock,MA,535,PIRI,Pinus rigida,0,2
CE_Wheelock,MA,534,NA,No species found,0,0
CE_Wheelock,MA,533,QUCO,Quercus coccinea,2,0
CE_Wheelock,MA,532,PIRI,Pinus rigida,0,1
CE_Wheelock,MA,531,PIRI,Pinus rigida,2,0
CE_Wheelock,MA,530,PIRI,Pinus rigida,3,0
CE_Wheelock,MA,529,PIRI,Pinus rigida,1,0
CE_Wheelock,MA,529,QUCO,Quercus coccinea,1,0
CE_Wheelock,MA,528,NA,No species found,0,0
CE_Wheelock,MA,527,PIRI,Pinus rigida,0,1
CE_Wheelock,MA,526,PIRI,Pinus rigida,1,1
CE_Wheelock,MA,525,NA,No species found,0,0
CE_Wheelock,MA,524,PIRI,Pinus rigida,2,2
