Site,Region,Plot_No,Species_Code,Latin_Name,SP_Total_Cover
Mashpee_B1,MA,375,KAAN,Kalmia angustifolium,2
Mashpee_B1,MA,375,VAPA,Vaccinium pallidum,3
Mashpee_B1,MA,375,QUIL,Quercus ilicifolia,4
Mashpee_B1,MA,375,GAPR,Gaultheria procumbens,2
Mashpee_B1,MA,375,CLAL,Clethra alnifolia,2
Mashpee_B1,MA,375,ILGL,Ilex glabra,2
Mashpee_B1,MA,375,GABA,Gaylussacia baccata,3
Mashpee_B1,MA,377,QUIL,Quercus ilicifolia,4
Mashpee_B1,MA,377,KAAN,Kalmia angustifolium,2
Mashpee_B1,MA,377,GABA,Gaylussacia baccata,2
Mashpee_B1,MA,377,VAPA,Vaccinium pallidum,3
Mashpee_B1,MA,377,SAAL,Sassafras albidum,3
Mashpee_B1,MA,377,GAPR,Gaultheria procumbens,2
Mashpee_B1,MA,377,PTAQ,Pteridium aquilinum,2
Mashpee_B1,MA,377,ILGL,Ilex glabra,3
Mashpee_B1,MA,379,GABA,Gaylussacia baccata,3
Mashpee_B1,MA,379,PIRI,Pinus rigida,1
Mashpee_B1,MA,379,KAAN,Kalmia angustifolium,3
Mashpee_B1,MA,379,GAPR,Gaultheria procumbens,3
Mashpee_B1,MA,379,VAPA,Vaccinium pallidum,3
Mashpee_B1,MA,381,VAPA,Vaccinium pallidum,5
Mashpee_B1,MA,381,GABA,Gaylussacia baccata,3
Mashpee_B1,MA,381,VAAN,Vaccinium angustifolium,2
Mashpee_B1,MA,381,GAPR,Gaultheria procumbens,2
Mashpee_B1,MA,381,CLAL,Clethra alnifolia,1
Mashpee_B1,MA,381,QUCO,Quercus coccinea,2
Mashpee_B1,MA,383,QUPR,Quercus prinoides,4
Mashpee_B1,MA,383,GABA,Gaylussacia baccata,2
Mashpee_B1,MA,383,VAPA,Vaccinium pallidum,2
Mashpee_B1,MA,383,VAAN,Vaccinium angustifolium,2
Mashpee_B1,MA,383,GAPR,Gaultheria procumbens,2
Mashpee_B1,MA,383,QUIL,Quercus ilicifolia,3
Mashpee_B1,MA,385,PIRI,Pinus rigida,1
Mashpee_B1,MA,385,VAPA,Vaccinium pallidum,4
Mashpee_B1,MA,385,GABA,Gaylussacia baccata,3
Mashpee_B1,MA,385,QUPR,Quercus prinoides,1
Mashpee_B1,MA,387,PIRI,Pinus rigida,1
Mashpee_B1,MA,387,MOCA,Morella caroliniensis,2
Mashpee_B1,MA,387,GABA,Gaylussacia baccata,2
Mashpee_B1,MA,387,VAPA,Vaccinium pallidum,3
Mashpee_B1,MA,387,LYBO,Lysimachia borealis,1
Mashpee_B1,MA,387,GAPR,Gaultheria procumbens,2
Mashpee_B1,MA,387,VAAN,Vaccinium angustifolium,2
Mashpee_B1,MA,387,FRSP,Fragaria species,1
Mashpee_B1,MA,387,ILMU,Ilex mucronata,2
Mashpee_B1,MA,389,ACRU,Acer rubrum,1
Mashpee_B1,MA,389,VAPA,Vaccinium pallidum,4
Mashpee_B1,MA,389,GAPR,Gaultheria procumbens,2
Mashpee_B1,MA,389,LYBO,Lysimachia borealis,2
Mashpee_B1,MA,389,SMGL,Smilax glauca,1
Mashpee_B1,MA,389,KAAN,Kalmia angustifolium,2
Mashpee_B1,MA,389,MICA,Maianthemum canadense,2
Mashpee_B1,MA,389,PIRI,Pinus rigida,1
Mashpee_B1,MA,389,QUAL,Quercus alba,1
TNCO_Hobbs5,NH,979,QUIL,Quercus ilicifolia,8
TNCO_Hobbs5,NH,979,GAPR,Gaultheria procumbens,5
TNCO_Hobbs5,NH,979,VAAN,Vaccinium angustifolium,3
TNCO_Hobbs5,NH,979,CAPE,Carex pensylvanica,2
TNCO_Hobbs5,NH,979,KAAN,Kalmia angustifolium,4
TNCO_Hobbs5,NH,977,PTAQ,Pteridium aquilinum,4
TNCO_Hobbs5,NH,977,VAAN,Vaccinium angustifolium,4
TNCO_Hobbs5,NH,977,GAPR,Gaultheria procumbens,4
TNCO_Hobbs5,NH,977,CAPE,Carex pensylvanica,3
TNCO_Hobbs5,NH,977,KAAN,Kalmia angustifolium,2
TNCO_Hobbs5,NH,977,DEFL,Deschampsia flexuosa,1
TNCO_Hobbs5,NH,977,LYQU,Lysimachia quadrifolia,1
TNCO_Hobbs5,NH,977,LYBO,Lysimachia borealis,1
TNCO_Hobbs5,NH,975,PTAQ,Pteridium aquilinum,4
TNCO_Hobbs5,NH,975,VAAN,Vaccinium angustifolium,7
TNCO_Hobbs5,NH,975,GAPR,Gaultheria procumbens,4
TNCO_Hobbs5,NH,975,CAPE,Carex pensylvanica,2
TNCO_Hobbs5,NH,973,PIRI,Pinus rigida,2
TNCO_Hobbs5,NH,973,GAPR,Gaultheria procumbens,5
TNCO_Hobbs5,NH,973,CAPE,Carex pensylvanica,2
TNCO_Hobbs5,NH,973,VAAN,Vaccinium angustifolium,2
TNCO_Hobbs5,NH,973,VAMY,Vaccinium myrtilloides,4
TNCO_Hobbs5,NH,973,KAAN,Kalmia angustifolium,3
TNCO_Hobbs5,NH,973,PTAQ,Pteridium aquilinum,4
TNCO_Hobbs5,NH,971,QUIL,Quercus ilicifolia,4
TNCO_Hobbs5,NH,971,GAPR,Gaultheria procumbens,3
TNCO_Hobbs5,NH,971,VAAN,Vaccinium angustifolium,2
TNCO_Hobbs5,NH,971,CAPE,Carex pensylvanica,2
TNCO_Hobbs5,NH,971,KAAN,Kalmia angustifolium,3
TNCO_Hobbs5,NH,971,GOTE,Goodyera tesselata,1
TNCO_Hobbs5,NH,971,PTAQ,Pteridium aquilinum,3
TNCO_Hobbs5,NH,969,PTAQ,Pteridium aquilinum,5
TNCO_Hobbs5,NH,969,COPE,Comptonia peregrina,4
TNCO_Hobbs5,NH,969,ACRU,Acer rubrum,2
TNCO_Hobbs5,NH,969,VAAN,Vaccinium angustifolium,7
TNCO_Hobbs5,NH,969,GAPR,Gaultheria procumbens,4
TNCO_Hobbs5,NH,969,CAPE,Carex pensylvanica,3
TNCO_Hobbs5,NH,969,LYQU,Lysimachia quadrifolia,2
TNCO_Hobbs5,NH,967,QUIL,Quercus ilicifolia,6
