Site,Region,Plot_No,Species_Code,Latin_Name,DBH(cm),Browse,Other_damage
TNCO_WB1,NH,238,NA,No species found,0.0,,
TNCO_WB1,NH,239,NA,No species found,0.0,,
TNCO_WB1,NH,240,NA,No species found,0.0,,
TNCO_WB1,NH,241,NA,No species found,0.0,,
TNCO_WB1,NH,242,NA,No species found,0.0,,
TNCO_WB1,NH,243,NA,No species found,0.0,,
TNCO_WB1,NH,244,NA,No species found,0.0,,
TNCO_WB1,NH,245,NA,No species found,0.0,,
TNCO_WB1,NH,246,NA,No species found,0.0,,
TNCO_WB1,NH,247,NA,No species found,0.0,,
TNCO_WB1,NH,248,NA,No species found,0.0,,
TNCO_WB1,NH,249,NA,No species found,0.0,,
TNCO_WB1,NH,250,PIRI,Pinus rigida,9.1,,
TNCO_WB1,NH,250,PIRI,Pinus rigida,7.3,,
TNCO_WB1,NH,251,NA,No species found,0.0,,
TNCO_WB1,NH,252,NA,No species found,0.0,,
TNCO_WB1,NH,253,NA,No species found,0.0,,
TNCO_WB1,NH,254,NA,No species found,0.0,,
TNCO_WB1,NH,255,NA,No species found,0.0,,
TNCO_WB1,NH,256,NA,No species found,0.0,,
TNCO_ESDB1,NH,957,NA,No species found,0.0,,
TNCO_ESDB1,NH,956,NA,No species found,0.0,,
TNCO_ESDB1,NH,955,NA,No species found,0.0,,
TNCO_ESDB1,NH,954,NA,No species found,0.0,,
TNCO_ESDB1,NH,953,NA,No species found,0.0,,
TNCO_ESDB1,NH,952,NA,No species found,0.0,,
TNCO_ESDB1,NH,951,NA,No species found,0.0,,
TNCO_ESDB1,NH,950,NA,No species found,0.0,,
TNCO_ESDB1,NH,949,NA,No species found,0.0,,
TNCO_ESDB1,NH,948,NA,No species found,0.0,,
TNCO_ESDB1,NH,947,NA,No species found,0.0,,
TNCO_ESDB1,NH,946,NA,No species found,0.0,,
TNCO_ESDB1,NH,945,NA,No species found,0.0,,
TNCO_ESDB1,NH,944,NA,No species found,0.0,,
TNCO_ESDB1,NH,943,NA,No species found,0.0,,
TNCO_ESDB1,NH,942,NA,No species found,0.0,,
TNCO_ESDB1,NH,941,NA,No species found,0.0,,
TNCO_ESDB1,NH,940,NA,No species found,0.0,,
TNCO_ESDB1,NH,939,NA,No species found,0.0,,
TNCO_ESDB1,NH,938,NA,No species found,0.0,,
TNCO_ESDB1,NH,937,NA,No species found,0.0,,
TNCO_ESDB1,NH,936,NA,No species found,0.0,,
APB_Humdinger,ALB,705,NA,No species found,0.0,,
APB_Humdinger,ALB,704,NA,No species found,0.0,,
APB_Humdinger,ALB,703,NA,No species found,0.0,,
APB_Humdinger,ALB,702,NA,No species found,0.0,,
APB_Humdinger,ALB,701,NA,No species found,0.0,,
APB_Humdinger,ALB,700,NA,No species found,0.0,,
APB_Humdinger,ALB,699,NA,No species found,0.0,,
APB_Humdinger,ALB,698,NA,No species found,0.0,,
APB_Humdinger,ALB,697,NA,No species found,0.0,,
APB_Humdinger,ALB,696,NA,No species found,0.0,,
APB_Humdinger,ALB,695,NA,No species found,0.0,,
APB_Humdinger,ALB,694,NA,No species found,0.0,,
APB_Humdinger,ALB,693,NA,No species found,0.0,,
APB_Humdinger,ALB,692,NA,No species found,0.0,,
APB_Humdinger,ALB,691,NA,No species found,0.0,,
APB_Humdinger,ALB,690,NA,No species found,0.0,,
APB_Humdinger,ALB,689,NA,No species found,0.0,,
APB_Humdinger,ALB,688,NA,No species found,0.0,,
APB_Humdinger,ALB,687,NA,No species found,0.0,,
APB_Humdinger,ALB,686,NA,No species found,0.0,,
APB_Humdinger,ALB,685,NA,No species found,0.0,,
APB_Humdinger,ALB,684,NA,No species found,0.0,,
APB_Humdinger,ALB,683,NA,No species found,0.0,,
APB_Humdinger,ALB,682,NA,No species found,0.0,,
APB_Bivy,ALB,750,NA,No species found,0.0,,
APB_Bivy,ALB,749,NA,No species found,0.0,,
APB_Bivy,ALB,748,NA,No species found,0.0,,
APB_Bivy,ALB,747,NA,No species found,0.0,,
APB_Bivy,ALB,746,NA,No species found,0.0,,
APB_Bivy,ALB,745,NA,No species found,0.0,,
APB_Bivy,ALB,744,NA,No species found,0.0,,
APB_Bivy,ALB,743,NA,No species found,0.0,,
APB_Bivy,ALB,742,NA,No species found,0.0,,
APB_Bivy,ALB,741,NA,No species found,0.0,,
APB_Bivy,ALB,740,PIRI,Pinus rigida,5.4,,
APB_Bivy,ALB,739,NA,No species found,0.0,,
APB_Bivy,ALB,738,NA,No species found,0.0,,
