Site,Region,Plot_No,Species_Code,Latin_Name,DBH(cm),Browse,Other_damage
SPNHF_Harmon,NH,1131,BEPO,Betula populifolia,2.5,,
SPNHF_Harmon,NH,1131,BEPO,Betula populifolia,2.8,,
SPNHF_Harmon,NH,1130,NA,No species found,0.0,,
SPNHF_Harmon,NH,1129,NA,No species found,0.0,,
SPNHF_Harmon,NH,1128,PIRI,Pinus rigida,6.0,,
SPNHF_Harmon,NH,1127,QUAL,Quercus alba,9.2,,
SPNHF_Harmon,NH,1126,NA,No species found,0.0,,
SPNHF_Harmon,NH,1125,NA,No species found,0.0,,
SPNHF_Harmon,NH,1124,NA,No species found,0.0,,
SPNHF_Harmon,NH,1123,NA,No species found,0.0,,
SPNHF_Harmon,NH,1122,QUIL,Quercus ilicifolia,3.8,,
SPNHF_Harmon,NH,1122,QUIL,Quercus ilicifolia,2.9,,
SPNHF_Harmon,NH,1122,BEPO,Betula populifolia,6.1,,
SPNHF_Harmon,NH,1122,QUIL,Quercus ilicifolia,3.7,,
SPNHF_Harmon,NH,1121,NA,No species found,0.0,,
SPNHF_Harmon,NH,1120,NA,No species found,0.0,,
 TNCW_7SW,ME,1009,BEPO,Betula populifolia,5.2,,
 TNCW_7SW,ME,1009,BEPO,Betula populifolia,9.9,,
 TNCW_7SW,ME,1009,BEPO,Betula populifolia,7.8,,
 TNCW_7SW,ME,1009,QUIL,Quercus ilicifolia,4.1,,
 TNCW_7SW,ME,1009,QUIL,Quercus ilicifolia,2.7,,
 TNCW_7SW,ME,1008,QUIL,Quercus ilicifolia,2.7,,
 TNCW_7SW,ME,1008,QUIL,Quercus ilicifolia,4.6,,
 TNCW_7SW,ME,1008,QUIL,Quercus ilicifolia,5.7,,
 TNCW_7SW,ME,1008,QUIL,Quercus ilicifolia,4.3,,
 TNCW_7SW,ME,1008,QUIL,Quercus ilicifolia,3.4,,
 TNCW_7SW,ME,1007,QUIL,Quercus ilicifolia,4.2,,
 TNCW_7SW,ME,1006,QUIL,Quercus ilicifolia,4.4,,
 TNCW_7SW,ME,1006,QUIL,Quercus ilicifolia,5.5,,
 TNCW_7SW,ME,1006,QUIL,Quercus ilicifolia,3.3,,
 TNCW_7SW,ME,1006,QUIL,Quercus ilicifolia,3.0,,
 TNCW_7SW,ME,1006,QUIL,Quercus ilicifolia,5.2,,
 TNCW_7SW,ME,1006,QUIL,Quercus ilicifolia,2.9,,
 TNCW_7SW,ME,1006,BEPO,Betula populifolia,9.3,,STUMP SPROUT
 TNCW_7SW,ME,1006,BEPO,Betula populifolia,8.2,,STUMP SPROUT
